
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/openworm_object_stl_manifest_repaired.csv
[OPENWORM-VALIDATOR] objects  = 694
[OPENWORM-VALIDATOR] global center model = (0,0.548859,1.50228)
[OPENWORM-VALIDATOR] global span model   = (2.02719,8.15334,4.43877)
[OPENWORM-VALIDATOR] mm/model-unit = 0.1
[OPENWORM-VALIDATOR] world half size = 1.10136, 1.40767, 1.22194 mm
[OPENWORM-VALIDATOR][LOADED] 1 name=hyp10 category=hypodermis/seam raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 2 name=hyp9 category=hypodermis/seam raw_tri=2096 kept_tri=2096 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 3 name=hyp8 category=hypodermis/seam raw_tri=1808 kept_tri=1808 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 4 name=hyp11 category=hypodermis/seam raw_tri=2494 kept_tri=2494 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 5 name=hyp7 category=hypodermis/seam raw_tri=115408 kept_tri=115408 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 6 name=Seam_Cells_Left category=hypodermis/seam raw_tri=11072 kept_tri=11072 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 7 name=hyp5 category=hypodermis/seam raw_tri=10752 kept_tri=10752 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 8 name=hyp4 category=hypodermis/seam raw_tri=14080 kept_tri=14080 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 9 name=hyp2 category=hypodermis/seam raw_tri=22784 kept_tri=22784 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 10 name=hyp1 category=hypodermis/seam raw_tri=20480 kept_tri=20480 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 11 name=Seam_Cells_Right category=hypodermis/seam raw_tri=11072 kept_tri=11072 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 12 name=hyp3 category=hypodermis/seam raw_tri=12288 kept_tri=12288 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 13 name=Cuticle category=cuticle/body-envelope raw_tri=32096 kept_tri=32096 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 14 name=Phar_Gland_g1_R category=neuron-or-cell raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 15 name=Phar_Gland_g2_VR category=neuron-or-cell raw_tri=1984 kept_tri=1984 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 16 name=Phar_Gland_Dorsal_g2 category=other-cell/anatomy raw_tri=4160 kept_tri=4160 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 17 name=Arcade_Cell_Ant category=other-cell/anatomy raw_tri=15628 kept_tri=15628 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 18 name=Arcade_Cell_Post category=other-cell/anatomy raw_tri=13620 kept_tri=13620 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 19 name=e1VR category=neuron-or-cell raw_tri=2624 kept_tri=2624 skipped_deg=0
