
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/baked_priority_meshes_test/baked_hybrid_flat_except_nervous_members.csv
[OPENWORM-VALIDATOR] objects  = 282
[OPENWORM-VALIDATOR] global center model = (-0.000835493,0.509081,-0.0100855)
[OPENWORM-VALIDATOR] global span model   = (0.613179,8.23224,1.42234)
[OPENWORM-VALIDATOR] mm/model-unit = 0.1
[OPENWORM-VALIDATOR] world half size = 1.03066, 1.41161, 1.07112 mm
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=WholeBodyEnvelope category=whole_body_parent raw_tri=22282 kept_tri=22282 skipped_deg=0
[OPENWORM-VALIDATOR][AGGREGATE_LOADED] 1 name=WholeBodyEnvelope category=whole_body_parent members=1
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=du category=NervousSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ALNR category=NervousSystem raw_tri=5824 kept_tri=5824 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PLNR category=NervousSystem raw_tri=6848 kept_tri=6848 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URYVR category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AUAR category=NervousSystem raw_tri=4416 kept_tri=4416 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PLNL category=NervousSystem raw_tri=6592 kept_tri=6592 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ALNL category=NervousSystem raw_tri=5824 kept_tri=5824 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URYDR category=NervousSystem raw_tri=3904 kept_tri=3904 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ALA category=NervousSystem raw_tri=9984 kept_tri=9984 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AUAL category=NervousSystem raw_tri=4416 kept_tri=4416 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URYDL category=NervousSystem raw_tri=3904 kept_tri=3904 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URYVL category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=OLQVR category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=IL1VR category=NervousSystem raw_tri=2752 kept_tri=2752 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=IL1R category=NervousSystem raw_tri=3648 kept_tri=3648 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=NSMR category=NervousSystem raw_tri=3136 kept_tri=3136 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=MCR category=NervousSystem raw_tri=3904 kept_tri=3904 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=MCL category=NervousSystem raw_tri=3904 kept_tri=3904 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=OLQDR category=NervousSystem raw_tri=3136 kept_tri=3136 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=NSML category=NervousSystem raw_tri=3136 kept_tri=3136 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=IL1DR category=NervousSystem raw_tri=756 kept_tri=756 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVL category=NervousSystem raw_tri=8384 kept_tri=8384 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=IL1DL category=NervousSystem raw_tri=756 kept_tri=756 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=IL1VL category=NervousSystem raw_tri=2752 kept_tri=2752 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=IL1L category=NervousSystem raw_tri=3648 kept_tri=3648 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=OLQDL category=NervousSystem raw_tri=3136 kept_tri=3136 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=OLQVL category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=GLRVR category=NervousSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=GLRDR category=NervousSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=GLRR category=NervousSystem raw_tri=2752 kept_tri=2752 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=GLRL category=NervousSystem raw_tri=2752 kept_tri=2752 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=GLRDL category=NervousSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=GLRVL category=NervousSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ccDR category=NervousSystem raw_tri=1920 kept_tri=1920 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ccDL category=NervousSystem raw_tri=1920 kept_tri=1920 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ccPL category=NervousSystem raw_tri=1920 kept_tri=1920 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ccAL category=NervousSystem raw_tri=1920 kept_tri=1920 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ccAR category=NervousSystem raw_tri=1920 kept_tri=1920 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ccPR category=NervousSystem raw_tri=1920 kept_tri=1920 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Head_Mesodermal_Cell category=NervousSystem raw_tri=4864 kept_tri=4864 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=virR category=NervousSystem raw_tri=832 kept_tri=832 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=virL category=NervousSystem raw_tri=832 kept_tri=832 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SIAVR category=NervousSystem raw_tri=6464 kept_tri=6464 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SDQR category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SDQL category=NervousSystem raw_tri=4544 kept_tri=4544 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=BDUR category=NervousSystem raw_tri=2752 kept_tri=2752 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVNR category=NervousSystem raw_tri=10560 kept_tri=10560 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVWR category=NervousSystem raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVCR category=NervousSystem raw_tri=7744 kept_tri=7744 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=LUAR category=NervousSystem raw_tri=1838 kept_tri=1838 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVPL category=NervousSystem raw_tri=6592 kept_tri=6592 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RIPR category=NervousSystem raw_tri=4416 kept_tri=4416 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=URBR category=NervousSystem raw_tri=1728 kept_tri=1728 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AIBR category=NervousSystem raw_tri=4160 kept_tri=4160 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=ADAR category=NervousSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=MI category=NervousSystem raw_tri=2496 kept_tri=2496 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVNL category=NervousSystem raw_tri=12480 kept_tri=12480 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVCL category=NervousSystem raw_tri=7488 kept_tri=7488 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVQL category=NervousSystem raw_tri=8128 kept_tri=8128 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=DVC category=NervousSystem raw_tri=7182 kept_tri=7182 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=DVA category=NervousSystem raw_tri=6926 kept_tri=6926 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVT category=NervousSystem raw_tri=7616 kept_tri=7616 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVPR category=NervousSystem raw_tri=6336 kept_tri=6336 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVWL category=NervousSystem raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=LUAL category=NervousSystem raw_tri=1838 kept_tri=1838 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=PVQR category=NervousSystem raw_tri=8000 kept_tri=8000 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=BDUL category=NervousSystem raw_tri=2752 kept_tri=2752 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RIVR category=NervousSystem raw_tri=3264 kept_tri=3264 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVJR category=NervousSystem raw_tri=7360 kept_tri=7360 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RICR category=NervousSystem raw_tri=2318 kept_tri=2318 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SIBVR category=NervousSystem raw_tri=5774 kept_tri=5774 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SIADR category=NervousSystem raw_tri=4494 kept_tri=4494 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AIAR category=NervousSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=SAADL category=NervousSystem raw_tri=2958 kept_tri=2958 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=RIBR category=NervousSystem raw_tri=4160 kept_tri=4160 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVKR category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVKL category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVFL category=NervousSystem raw_tri=8384 kept_tri=8384 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVFR category=NervousSystem raw_tri=8512 kept_tri=8512 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVAR category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVBR category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVDL category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVBL category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVAL category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=AVDR category=NervousSystem raw_tri=6158 kept_tri=6158 skipped_deg=0
