a_phys,a,a_copy,b_phys,b,b_copy,pair_key,depth_um,cases
ow_uv2_Ant_phys,uv2_Ant,236,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||uv2_Ant,15.4328,9
ow_vulF_phys,vulF,229,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vulF,15.2848,62
ow_vulD_phys,vulD,227,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vulD,15.2641,41
ow_uv1_Ant_phys,uv1_Ant,237,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||uv1_Ant,15.262,9
ow_vulC_phys,vulC,223,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vulC,15.2305,32
ow_uv3_Ant_phys,uv3_Ant,235,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||uv3_Ant,15.221,10
ow_mu_bod_DR8_phys,mu_bod_DR8,97,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||mu_bod_DR8,15.0953,10
ow_vulE_phys,vulE,228,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vulE,15.0747,15
ow_vm2R_Ant_phys,vm2R_Ant,209,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vm2R_Ant,14.9952,161
ow_utse_phys,utse,243,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||utse,13.9482,2
ow_mu_bod_DR6_phys,mu_bod_DR6,98,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||mu_bod_DR6,13.8661,9
ow_vm2R_Post_phys,vm2R_Post,230,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vm2R_Post,13.5561,116
ow_pm5D_phys,pm5D,30,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm5D,12.8245,4
ow_vulB1_phys,vulB1,221,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vulB1,12.5024,17
ow_uv1_Post_phys,uv1_Post,233,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||uv1_Post,12.2752,5
ow_uv2_Post_phys,uv2_Post,232,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||uv2_Post,11.8733,11
ow_mc2DL_phys,mc2DL,31,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mc2DL,11.4843,43
ow_um1R_Post_phys,um1R_Post,213,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||um1R_Post,11.3415,43
ow_vulC_phys,vulC,223,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vulC,10.5732,27
ow_pm4VL_phys,pm4VL,33,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm4VL,10.5474,69
ow_vulB2_phys,vulB2,222,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vulB2,10.5458,37
ow_vulB1_phys,vulB1,221,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vulB1,10.4464,80
ow_vulA_phys,vulA,220,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vulA,10.3629,55
ow_vulE_phys,vulE,228,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vulE,10.3394,8
ow_vulD_phys,vulD,227,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vulD,10.3087,21
ow_uv1_Ant_phys,uv1_Ant,237,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||uv1_Ant,10.2439,3
ow_pm5VL_phys,pm5VL,29,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm5VL,10.1777,7
ow_pm4VR_phys,pm4VR,39,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm4VR,10.0616,14
ow_uv3_Post_phys,uv3_Post,234,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||uv3_Post,10.0357,13
ow_vulF_phys,vulF,229,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vulF,9.97984,1
ow_vm1R_Ant_phys,vm1R_Ant,224,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vm1R_Ant,9.59661,162
ow_pm3VR_phys,pm3VR,43,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm3VR,9.35127,14
ow_pm3VL_phys,pm3VL,40,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm3VL,9.25598,91
ow_vm1R_Post_phys,vm1R_Post,225,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vm1R_Post,9.1064,172
ow_vulB2_phys,vulB2,222,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vulB2,8.1637,17
ow_uv2_Ant_phys,uv2_Ant,236,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||uv2_Ant,7.86907,1
ow_um1R_Post_phys,um1R_Post,213,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||um1R_Post,7.09805,9
ow_pm5D_phys,pm5D,30,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm5D,6.98816,15
ow_um2R_Post_phys,um2R_Post,219,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||um2R_Post,6.94495,6
ow_mc1DR_phys,mc1DR,20,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mc1DR,6.88687,5
ow_pm4D_phys,pm4D,34,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm4D,6.5679,33
