
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR][SMOKE_SOURCE] particle=gamma energy_keV=100 source_y_um=-650 half_x_um=120 half_z_um=120 seed=12345
[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/aggregate_testA/testA_aggregate_parent_digestive_reproductive.csv
[OPENWORM-VALIDATOR] objects  = 199
[OPENWORM-VALIDATOR] global center model = (-0.000835493,0.509081,-0.0100855)
[OPENWORM-VALIDATOR] global span model   = (0.613179,8.23224,1.42234)
[OPENWORM-VALIDATOR] mm/model-unit = 0.1
[OPENWORM-VALIDATOR] world half size = 1.03066, 1.41161, 1.07112 mm
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=WholeBodyEnvelope category=whole_body_parent raw_tri=22282 kept_tri=22282 skipped_deg=0
[OPENWORM-VALIDATOR][AGGREGATE_LOADED] 1 name=WholeBodyEnvelope category=whole_body_parent members=1
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Phar_Gland_g1_R category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Phar_Gland_g2_VR category=DigestiveSystem raw_tri=1984 kept_tri=1984 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Phar_Gland_Dorsal_g2 category=DigestiveSystem raw_tri=4160 kept_tri=4160 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Arcade_Cell_Ant category=DigestiveSystem raw_tri=15628 kept_tri=15628 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Arcade_Cell_Post category=DigestiveSystem raw_tri=13620 kept_tri=13620 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e1VR category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e3VR category=DigestiveSystem raw_tri=2736 kept_tri=2736 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e2DR category=DigestiveSystem raw_tri=4368 kept_tri=4368 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e2DL category=DigestiveSystem raw_tri=4112 kept_tri=4112 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e3D category=DigestiveSystem raw_tri=3040 kept_tri=3040 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e1D category=DigestiveSystem raw_tri=3392 kept_tri=3392 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e2V category=DigestiveSystem raw_tri=4528 kept_tri=4528 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm1 category=DigestiveSystem raw_tri=10048 kept_tri=10048 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm2VR category=DigestiveSystem raw_tri=4800 kept_tri=4800 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm2VL category=DigestiveSystem raw_tri=4608 kept_tri=4608 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm2D category=DigestiveSystem raw_tri=4544 kept_tri=4544 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc3DR category=DigestiveSystem raw_tri=6992 kept_tri=6992 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc2V category=DigestiveSystem raw_tri=6368 kept_tri=6368 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc2DR category=DigestiveSystem raw_tri=6336 kept_tri=6336 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc1V category=DigestiveSystem raw_tri=9024 kept_tri=9024 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc1DR category=DigestiveSystem raw_tri=9312 kept_tri=9312 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm8 category=DigestiveSystem raw_tri=896 kept_tri=896 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc3V category=DigestiveSystem raw_tri=6176 kept_tri=6176 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm7VL category=DigestiveSystem raw_tri=4624 kept_tri=4624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm7D category=DigestiveSystem raw_tri=5184 kept_tri=5184 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm6VL category=DigestiveSystem raw_tri=5536 kept_tri=5536 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm6D category=DigestiveSystem raw_tri=1128 kept_tri=1128 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc3DL category=DigestiveSystem raw_tri=1748 kept_tri=1748 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm6VR category=DigestiveSystem raw_tri=5024 kept_tri=5024 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm5VL category=DigestiveSystem raw_tri=5008 kept_tri=5008 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm5D category=DigestiveSystem raw_tri=5376 kept_tri=5376 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc2DL category=DigestiveSystem raw_tri=6336 kept_tri=6336 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm5VR category=DigestiveSystem raw_tri=4368 kept_tri=4368 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm4VL category=DigestiveSystem raw_tri=3376 kept_tri=3376 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm4D category=DigestiveSystem raw_tri=3218 kept_tri=3218 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e3VL category=DigestiveSystem raw_tri=2736 kept_tri=2736 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=e1VL category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Phar_Gland_g1_L category=DigestiveSystem raw_tri=10176 kept_tri=10176 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Phar_Gland_g2_VL category=DigestiveSystem raw_tri=1984 kept_tri=1984 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm4VR category=DigestiveSystem raw_tri=3392 kept_tri=3392 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm3VL category=DigestiveSystem raw_tri=6576 kept_tri=6576 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm3D category=DigestiveSystem raw_tri=5232 kept_tri=5232 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mc1DL category=DigestiveSystem raw_tri=9312 kept_tri=9312 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm3VR category=DigestiveSystem raw_tri=6320 kept_tri=6320 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=pm7VR category=DigestiveSystem raw_tri=4768 kept_tri=4768 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm1L_Ant category=DigestiveSystem raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm2R_Ant category=DigestiveSystem raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm2L_Post category=DigestiveSystem raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm1R_Ant category=DigestiveSystem raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm1R_Post category=DigestiveSystem raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm1L_Post category=DigestiveSystem raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm2R_Post category=DigestiveSystem raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vm2L_Ant category=DigestiveSystem raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Pharyn-Intest-Valve category=DigestiveSystem raw_tri=4096 kept_tri=4096 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int1DL category=DigestiveSystem raw_tri=2176 kept_tri=2176 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=Anus category=DigestiveSystem raw_tri=772 kept_tri=772 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int9L category=DigestiveSystem raw_tri=3008 kept_tri=3008 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int8L category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int7L category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int6L category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int5L category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int4V category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int3V category=DigestiveSystem raw_tri=2064 kept_tri=2064 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int2D category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int1VR category=DigestiveSystem raw_tri=2192 kept_tri=2192 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int1VL category=DigestiveSystem raw_tri=2176 kept_tri=2176 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int4D category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int6R category=DigestiveSystem raw_tri=2624 kept_tri=2624 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int5R category=DigestiveSystem raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi3_V category=DigestiveSystem raw_tri=1888 kept_tri=1888 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi3_D category=DigestiveSystem raw_tri=1888 kept_tri=1888 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi2_DL category=DigestiveSystem raw_tri=1872 kept_tri=1872 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi2_V category=DigestiveSystem raw_tri=2272 kept_tri=2272 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi2_DR category=DigestiveSystem raw_tri=1872 kept_tri=1872 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=vpi1 category=DigestiveSystem raw_tri=8192 kept_tri=8192 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int9R category=DigestiveSystem raw_tri=3008 kept_tri=3008 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int8R category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int2V category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int1DR category=DigestiveSystem raw_tri=2176 kept_tri=2176 skipped_deg=0
[OPENWORM-VALIDATOR][MEMBER_LOADED] name=int7R category=DigestiveSystem raw_tri=1856 kept_tri=1856 skipped_deg=0
