a_phys,a,a_copy,b_phys,b,b_copy,pair_key,depth_um,cases
ow_pm5D_phys,pm5D,30,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm5D,6.98816,14
ow_pm4D_phys,pm4D,34,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm4D,6.5679,32
ow_pm5D_phys,pm5D,30,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||pm5D,6.32606,15
ow_mc1DL_phys,mc1DL,42,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||mc1DL,5.60099,39
ow_pm1_phys,pm1,12,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm1,5.54648,4
ow_pm3D_phys,pm3D,41,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm3D,5.52982,30
ow_Rachis_A_phys,Rachis_A,104,ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,112,Gonadal_Sheath_A1R||Rachis_A,5.06021,70
ow_Gonadal_Sheath_A2R_phys,Gonadal_Sheath_A2R,111,ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,112,Gonadal_Sheath_A1R||Gonadal_Sheath_A2R,4.92188,41
ow_Gonadal_Sheath_A2L_phys,Gonadal_Sheath_A2L,101,ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,112,Gonadal_Sheath_A1R||Gonadal_Sheath_A2L,4.78792,13
ow_pm3VR_phys,pm3VR,43,ow_e1VR_phys,e1VR,5,e1VR||pm3VR,4.27482,36
ow_mc1DR_phys,mc1DR,20,ow_e1VR_phys,e1VR,5,e1VR||mc1DR,4.20559,6
ow_Rachis_A_phys,Rachis_A,104,ow_Gonadal_Sheath_A1L_phys,Gonadal_Sheath_A1L,102,Gonadal_Sheath_A1L||Rachis_A,4.11983,228
ow_mc1DR_phys,mc1DR,20,ow_e3VR_phys,e3VR,6,e3VR||mc1DR,3.94052,1
ow_mc2DL_phys,mc2DL,31,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||mc2DL,3.87849,26
ow_pm2D_phys,pm2D,15,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm2D,3.60774,14
ow_Phar_Gland_g2_VL_phys,Phar_Gland_g2_VL,38,ow_pm7VL_phys,pm7VL,23,Phar_Gland_g2_VL||pm7VL,3.44016,445
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm7VL_phys,pm7VL,23,Phar_Gland_Dorsal_g2||pm7VL,3.41817,130
ow_vm2R_Post_phys,vm2R_Post,135,ow_um1R_Post_phys,um1R_Post,118,um1R_Post||vm2R_Post,3.39842,2
ow_Phar_Gland_g2_VR_phys,Phar_Gland_g2_VR,1,ow_pm7VR_phys,pm7VR,44,Phar_Gland_g2_VR||pm7VR,3.34457,429
ow_Gonadal_Sheath_P5D_phys,Gonadal_Sheath_P5D,95,ow_Oocyte_Post_1_phys,Oocyte_Post_1,161,Gonadal_Sheath_P5D||Oocyte_Post_1,3.32466,70
ow_um2R_Ant_phys,um2R_Ant,122,ow_vm2R_Ant_phys,vm2R_Ant,114,um2R_Ant||vm2R_Ant,3.17139,3
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm7VR_phys,pm7VR,44,Phar_Gland_Dorsal_g2||pm7VR,3.13855,118
ow_Gonadal_Sheath_A2L_phys,Gonadal_Sheath_A2L,101,ow_Gonadal_Sheath_A1L_phys,Gonadal_Sheath_A1L,102,Gonadal_Sheath_A1L||Gonadal_Sheath_A2L,3.08866,21
ow_Phar_Gland_g1_R_phys,Phar_Gland_g1_R,0,ow_pm6VR_phys,pm6VR,28,Phar_Gland_g1_R||pm6VR,2.85325,380
ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,ow_pm6VL_phys,pm6VL,25,Phar_Gland_g1_L||pm6VL,2.8426,532
ow_Phar_Gland_g2_VR_phys,Phar_Gland_g2_VR,1,ow_pm6VR_phys,pm6VR,28,Phar_Gland_g2_VR||pm6VR,2.83935,549
ow_Phar_Gland_g2_VL_phys,Phar_Gland_g2_VL,38,ow_pm6VL_phys,pm6VL,25,Phar_Gland_g2_VL||pm6VL,2.70256,481
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm7D_phys,pm7D,24,Phar_Gland_Dorsal_g2||pm7D,2.69618,146
ow_mc1DR_phys,mc1DR,20,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||mc1DR,2.68921,1
ow_um1L_Ant_phys,um1L_Ant,117,ow_vulB2_phys,vulB2,127,um1L_Ant||vulB2,2.44441,1
ow_uv2_Ant_phys,uv2_Ant,141,ow_vulE_phys,vulE,133,uv2_Ant||vulE,2.25388,2
ow_vulF_phys,vulF,134,ow_um1R_Post_phys,um1R_Post,118,um1R_Post||vulF,2.16746,1
ow_Phar_Gland_g1_R_phys,Phar_Gland_g1_R,0,ow_pm5VR_phys,pm5VR,32,Phar_Gland_g1_R||pm5VR,2.05217,438
ow_Rachis_P_phys,Rachis_P,103,ow_Gonadal_Sheath_P1L_phys,Gonadal_Sheath_P1L,99,Gonadal_Sheath_P1L||Rachis_P,2.01834,57
ow_vpi3_D_phys,vpi3_D,189,ow_int1DL_phys,int1DL,173,int1DL||vpi3_D,1.95855,224
ow_vm2L_Ant_phys,vm2L_Ant,136,ow_um2L_Ant_phys,um2L_Ant,120,um2L_Ant||vm2L_Ant,1.93958,2
ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,ow_pm5VL_phys,pm5VL,29,Phar_Gland_g1_L||pm5VL,1.92834,204
ow_pm5VL_phys,pm5VL,29,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||pm5VL,1.91405,4
ow_vulD_phys,vulD,132,ow_vulB1_phys,vulB1,126,vulB1||vulD,1.91215,1
ow_Gonadal_Sheath_P5V_phys,Gonadal_Sheath_P5V,153,ow_Oocyte_Post_1_phys,Oocyte_Post_1,161,Gonadal_Sheath_P5V||Oocyte_Post_1,1.87591,60
ow_pm2VR_phys,pm2VR,13,ow_e2V_phys,e2V,11,e2V||pm2VR,1.8755,23
