object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after
Phar_Gland_g1_R,Phar_Gland_g1_R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g1_R.stl,2240,2240,0,-0.0732681527733802,-2.8536062240600586,0.3038907051086426,-0.0304237734526395,-2.532024383544922,0.4885469973087311,0.0428443774580955,0.3215818405151367,0.1846562922000885,False,True,True,2240
Phar_Gland_g2_VR,Phar_Gland_g2_VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g2_VR.stl,1984,1984,0,-0.0949849113821983,-2.590960741043091,0.2710514962673187,-0.0324191153049469,-2.3846566677093506,0.4040461182594299,0.0625657960772514,0.2063040733337402,0.1329946219921112,True,True,True,1984
Phar_Gland_Dorsal_g2,Phar_Gland_Dorsal_g2,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_Dorsal_g2.stl,4160,4160,0,-0.1002574041485786,-3.4097442626953125,0.3129712045192718,0.0575307682156562,-2.387277364730835,0.5950590372085571,0.1577881723642349,1.0224668979644775,0.2820878326892853,False,True,True,4160
Arcade_Cell_Ant,Arcade_Cell_Ant,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Arcade_Cell_Ant.stl,15680,15680,0,-0.0910969898104667,-3.495954751968384,0.4888978600502014,0.0482349433004856,-3.173342704772949,0.6152755618095398,0.1393319368362426,0.3226120471954345,0.1263777017593383,True,True,True,15628
Arcade_Cell_Post,Arcade_Cell_Post,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Arcade_Cell_Post.stl,13824,13824,0,-0.0966334491968154,-3.4764716625213623,0.4726529121398926,0.051014132797718,-3.088528871536255,0.623478889465332,0.1476475894451141,0.3879427909851074,0.1508259773254394,True,True,True,13620
e1VR,e1VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e1VR.stl,2624,2624,0,-0.0846449732780456,-3.462606906890869,0.5154579281806946,-0.0328983925282955,-3.143465518951416,0.5843719840049744,0.0517465807497501,0.3191413879394531,0.0689140558242797,False,True,True,2624
e3VR,e3VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3VR.stl,2736,2736,0,-0.0917154476046562,-3.4478349685668945,0.512840747833252,-0.0327712297439575,-3.089730024337769,0.5838468074798584,0.0589442178606987,0.358104944229126,0.0710060596466064,False,True,True,2736
e2DR,e2DR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2DR.stl,4368,4368,0,-0.0506354980170726,-3.4614062309265137,0.5828412771224976,-0.0191803220659494,-3.2485251426696777,0.6202481389045715,0.031455174088478,0.2128810882568359,0.0374068617820739,False,True,True,4368
e2DL,e2DL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2DL.stl,4112,4112,0,-0.0098225567489862,-3.4614129066467285,0.5405835509300232,0.0355535931885242,-3.2515316009521484,0.6027805805206299,0.0453761518001556,0.20988130569458,0.0621970295906066,False,True,True,4112
e3D,e3D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3D.stl,3040,3040,0,-0.0406083241105079,-3.445678234100342,0.5945448279380798,-0.0021916683763265,-3.082070589065552,0.6174606084823608,0.0384166538715362,0.36360764503479,0.022915780544281,False,True,True,3040
