object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after,compartment,geometry_role,role_note,validator_category
hyp10,hyp10,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp10.stl,2240,2240,0,-0.0439239703118801,4.1927361488342285,0.1882644444704055,0.0316363982856273,4.619907379150391,0.6482669115066528,0.0755603685975074,0.4271712303161621,0.4600024819374084,False,True,True,2240,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp9,hyp9,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp9.stl,2096,2096,0,-0.0439949184656143,3.994622468948364,0.0785913988947868,0.0317057818174362,4.386119842529297,0.3717294633388519,0.0757007002830505,0.3914973735809326,0.2931380569934845,False,True,True,2096,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp8,hyp8,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp8.stl,1808,1808,0,-0.0885942280292511,4.001688003540039,0.0233240593224763,0.077435053884983,4.2205424308776855,0.1830173432826995,0.1660292744636535,0.2188544273376464,0.1596932858228683,False,True,True,1808,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp11,hyp11,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp11.stl,2768,2768,0,-0.0872094556689262,3.933873176574707,0.0532543733716011,0.0768404901027679,4.204285621643066,0.2075197845697403,0.1640499532222747,0.2704124450683594,0.1542654037475586,True,True,True,2494,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp7,hyp7,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp7.stl,115408,115408,0,-0.2892280519008636,-3.3659322261810303,-0.7076897621154785,0.2872376143932342,4.060296058654785,0.6868475675582886,0.5764656662940979,7.426228523254394,1.394537329673767,False,True,True,115408,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
Seam_Cells_Left,Seam_Cells_Left,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Seam_Cells_Left.stl,11072,11072,0,0.1013800054788589,-3.0871129035949707,-0.459821343421936,0.2933638393878937,3.991202116012573,0.5522667169570923,0.1919838339090347,7.078314781188965,1.0120880603790283,True,True,True,11072,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp5,hyp5,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp5.stl,10752,10752,0,-0.1036430969834327,-3.425864696502685,0.5022537708282471,0.0659732520580291,-3.2241575717926025,0.6631128787994385,0.1696163415908813,0.201707124710083,0.1608591079711914,False,True,True,10752,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp4,hyp4,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp4.stl,14080,14080,0,-0.0848758965730667,-3.478510856628418,0.5192886590957642,0.0462072603404521,-3.364372491836548,0.6625623106956482,0.1310831606388092,0.1141383647918701,0.143273651599884,True,True,True,14080,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp2,hyp2,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp2.stl,22784,22784,0,-0.092334546148777,-3.5043742656707764,0.4982039630413055,0.0492130145430564,-3.140819549560547,0.6157164573669434,0.1415475606918335,0.3635547161102295,0.1175124943256378,False,True,True,22784,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp1,hyp1,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp1.stl,20480,20480,0,-0.0940717384219169,-3.4944424629211426,0.4847648739814758,0.05163549259305,-3.104644536972046,0.6143240332603455,0.1457072347402572,0.3897979259490967,0.1295591592788696,False,True,True,20480,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
Seam_Cells_Right,Seam_Cells_Right,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Seam_Cells_Right.stl,11072,11072,0,-0.2943738996982574,-3.0871129035949707,-0.4593680500984192,-0.1062831878662109,3.991202354431152,0.5522666573524475,0.1880907118320465,7.078315258026123,1.0116347074508667,True,True,True,11072,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
hyp3,hyp3,hypodermis_shell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp3.stl,12288,12288,0,-0.0716791674494743,-3.527763843536377,0.5350276827812195,0.0326786711812019,-3.2616055011749268,0.6615875363349915,0.1043578386306762,0.2661583423614502,0.1265598535537719,False,True,True,12288,hypodermis_shell,defer_physical,hypodermis/seam shell or scoring label; not first-pass child,hypodermis_shell
