object_name,compartment,samples,frac_inside_body,outside_samples,watertight,faces,stl_path
Phar_Gland_g1_R,digestive_system,2240,1.0,0,True,2240,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g1_R.stl
Phar_Gland_g2_VR,digestive_system,1984,1.0,0,True,1984,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g2_VR.stl
Phar_Gland_Dorsal_g2,digestive_system,4160,1.0,0,True,4160,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_Dorsal_g2.stl
Arcade_Cell_Ant,digestive_system,5000,1.0,0,True,15628,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Arcade_Cell_Ant.stl
Arcade_Cell_Post,digestive_system,5000,1.0,0,True,13620,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Arcade_Cell_Post.stl
e1VR,digestive_system,2624,1.0,0,True,2624,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e1VR.stl
e3VR,digestive_system,2736,1.0,0,True,2736,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3VR.stl
e2DR,digestive_system,4368,1.0,0,True,4368,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2DR.stl
e2DL,digestive_system,4112,1.0,0,True,4112,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2DL.stl
e3D,digestive_system,3040,1.0,0,True,3040,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3D.stl
e1D,digestive_system,3392,1.0,0,True,3392,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e1D.stl
e2V,digestive_system,4528,1.0,0,True,4528,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2V.stl
pm1,digestive_system,5000,1.0,0,True,10048,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm1.stl
pm2VR,digestive_system,4800,1.0,0,True,4800,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm2VR.stl
pm2VL,digestive_system,4608,1.0,0,True,4608,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm2VL.stl
pm2D,digestive_system,4544,1.0,0,True,4544,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm2D.stl
mc3DR,digestive_system,5000,1.0,0,True,6992,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3DR.stl
mc2V,digestive_system,5000,1.0,0,True,6368,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2V.stl
mc2DR,digestive_system,5000,1.0,0,True,6336,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2DR.stl
mc1V,digestive_system,5000,1.0,0,True,9024,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1V.stl
mc1DR,digestive_system,5000,1.0,0,True,9312,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1DR.stl
pm8,digestive_system,896,1.0,0,True,896,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm8.stl
mc3V,digestive_system,5000,1.0,0,True,6176,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3V.stl
pm7VL,digestive_system,4624,1.0,0,True,4624,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7VL.stl
pm7D,digestive_system,5000,1.0,0,True,5184,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7D.stl
pm6VL,digestive_system,5000,1.0,0,True,5536,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6VL.stl
pm6D,digestive_system,1128,1.0,0,True,1128,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6D.stl
mc3DL,digestive_system,1748,1.0,0,True,1748,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3DL.stl
