object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,clean_status,clean_error,cleaned_stl_path,before_vertices,before_edges_counted,before_faces,before_triangles,before_boundary_edges,before_nonmanifold_edges,before_degenerate_faces,before_loose_vertices,before_signed_volume,before_volume_abs,before_watertight_edge_test,after_vertices,after_edges_counted,after_faces,after_triangles,after_boundary_edges,after_nonmanifold_edges,after_degenerate_faces,after_loose_vertices,after_signed_volume,after_volume_abs,after_watertight_edge_test,delta_vertices,delta_faces,delta_boundary_edges,delta_nonmanifold_edges,delta_degenerate_faces
hyp10,hyp10,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp10.stl,2240,2240,0,-0.04392397031188011,4.1927361488342285,0.18826444447040558,0.031636398285627365,4.619907379150391,0.6482669115066528,0.07556036859750748,0.4271712303161621,0.46000248193740845,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp10.stl,1122,3360,2240,2240,0,0,0,0,0.00036268888640831443,0.00036268888640831443,1,1122,3360,2240,2240,0,0,0,0,0.00036268888640831443,0.00036268888640831443,1,0,0,0,0,0
hyp9,hyp9,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp9.stl,2096,2096,0,-0.04399491846561432,3.9946224689483643,0.07859139889478683,0.03170578181743622,4.386119842529297,0.37172946333885193,0.07570070028305054,0.3914973735809326,0.2931380569934845,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp9.stl,1050,3144,2096,2096,0,0,0,0,0.00035712871838411236,0.00035712871838411236,1,1050,3144,2096,2096,0,0,0,0,0.00035712871838411236,0.00035712871838411236,1,0,0,0,0,0
hyp8,hyp8,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp8.stl,1808,1808,0,-0.0885942280292511,4.001688003540039,0.023324059322476387,0.07743505388498306,4.2205424308776855,0.18301734328269958,0.16602927446365356,0.21885442733764648,0.15969328582286835,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp8.stl,906,2712,1808,1808,0,0,0,0,0.0011860737633300103,0.0011860737633300103,1,906,2712,1808,1808,0,0,0,0,0.0011860737633300103,0.0011860737633300103,1,0,0,0,0,0
hyp11,hyp11,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp11.stl,2768,2768,0,-0.08720945566892624,3.933873176574707,0.053254373371601105,0.07684049010276794,4.204285621643066,0.2075197845697403,0.16404995322227478,0.2704124450683594,0.1542654037475586,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp11.stl,1409,4176,2768,2768,48,48,0,0,0.0010317447844432409,0.0010317447844432409,0,1388,4156,2768,2768,8,8,0,0,0.0010317474053227543,0.0010317474053227543,0,-21,0,-40,-40,0
hyp7,hyp7,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp7.stl,115408,115408,0,-0.28922805190086365,-3.3659322261810303,-0.7076897621154785,0.28723761439323425,4.060296058654785,0.6868475675582886,0.5764656662940979,7.4262285232543945,1.394537329673767,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp7.stl,57638,173112,115408,115408,0,0,0,0,0.23666965267191814,0.23666965267191814,1,57638,173112,115408,115408,0,0,0,0,0.23666965267191814,0.23666965267191814,1,0,0,0,0,0
Seam_Cells_Left,Seam_Cells_Left,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Seam_Cells_Left.stl,11072,11072,0,0.10138000547885895,-3.0871129035949707,-0.45982134342193604,0.2933638393878937,3.9912021160125732,0.5522667169570923,0.19198383390903473,7.078314781188965,1.0120880603790283,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Seam_Cells_Left.stl,5538,16608,11072,11072,0,0,0,0,-0.0070138779297194715,0.0070138779297194715,1,5538,16608,11072,11072,0,0,0,0,0.0070138779297194715,0.0070138779297194715,1,0,0,0,0,0
hyp5,hyp5,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp5.stl,10752,10752,0,-0.10364309698343277,-3.4258646965026855,0.5022537708282471,0.06597325205802917,-3.2241575717926025,0.6631128787994385,0.16961634159088135,0.201707124710083,0.1608591079711914,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp5.stl,5376,16128,10752,10752,0,0,0,0,0.00018685469983404035,0.00018685469983404035,1,5376,16128,10752,10752,0,0,0,0,0.00018685469983404035,0.00018685469983404035,1,0,0,0,0,0
hyp4,hyp4,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp4.stl,14080,14080,0,-0.08487589657306671,-3.478510856628418,0.5192886590957642,0.046207260340452194,-3.364372491836548,0.6625623106956482,0.1310831606388092,0.11413836479187012,0.14327365159988403,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp4.stl,7040,21120,14080,14080,0,0,0,0,-0.00013745889122788492,0.00013745889122788492,1,7040,21120,14080,14080,0,0,0,0,0.00013745889122788492,0.00013745889122788492,1,0,0,0,0,0
hyp2,hyp2,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp2.stl,22784,22784,0,-0.09233454614877701,-3.5043742656707764,0.49820396304130554,0.04921301454305649,-3.140819549560547,0.6157164573669434,0.1415475606918335,0.3635547161102295,0.11751249432563782,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp2.stl,11392,34176,22784,22784,0,0,0,0,9.558394558769312e-05,9.558394558769312e-05,1,11392,34176,22784,22784,0,0,0,0,9.558394558769312e-05,9.558394558769312e-05,1,0,0,0,0,0
hyp1,hyp1,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp1.stl,20480,20480,0,-0.09407173842191696,-3.4944424629211426,0.48476487398147583,0.05163549259305,-3.104644536972046,0.6143240332603455,0.14570723474025726,0.3897979259490967,0.12955915927886963,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp1.stl,10240,30720,20480,20480,0,0,0,0,4.894742810161549e-05,4.894742810161549e-05,1,10240,30720,20480,20480,0,0,0,0,4.894742810161549e-05,4.894742810161549e-05,1,0,0,0,0,0
Seam_Cells_Right,Seam_Cells_Right,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Seam_Cells_Right.stl,11072,11072,0,-0.29437389969825745,-3.0871129035949707,-0.4593680500984192,-0.10628318786621094,3.9912023544311523,0.5522666573524475,0.1880907118320465,7.078315258026123,1.0116347074508667,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Seam_Cells_Right.stl,5538,16608,11072,11072,0,0,0,0,-0.0054257829534702815,0.0054257829534702815,1,5538,16608,11072,11072,0,0,0,0,0.0054257829534702815,0.0054257829534702815,1,0,0,0,0,0
hyp3,hyp3,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp3.stl,12288,12288,0,-0.07167916744947433,-3.527763843536377,0.5350276827812195,0.032678671181201935,-3.2616055011749268,0.6615875363349915,0.10435783863067627,0.2661583423614502,0.12655985355377197,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/hyp3.stl,6144,18432,12288,12288,0,0,0,0,0.00012860246355709737,0.00012860246355709737,1,6144,18432,12288,12288,0,0,0,0,0.00012860246355709737,0.00012860246355709737,1,0,0,0,0,0
Cuticle,Cuticle,cuticle/body-envelope,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Cuticle.stl,32096,32096,0,-0.3074254095554352,-3.527811050415039,-0.7171018123626709,0.3057541251182556,4.625528812408447,0.6913139820098877,0.6131795644760132,8.153339385986328,1.4084157943725586,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Cuticle.stl,16044,48144,32096,32096,0,0,0,0,0.10902075141988896,0.10902075141988896,1,16044,48144,32096,32096,0,0,0,0,0.10902075141988896,0.10902075141988896,1,0,0,0,0,0
Phar_Gland_g1_R,Phar_Gland_g1_R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g1_R.stl,2240,2240,0,-0.07326815277338028,-2.8536062240600586,0.3038907051086426,-0.03042377345263958,-2.532024383544922,0.4885469973087311,0.04284437745809555,0.3215818405151367,0.1846562922000885,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Phar_Gland_g1_R.stl,1122,3360,2240,2240,0,0,0,0,7.784693960862422e-05,7.784693960862422e-05,1,1122,3360,2240,2240,0,0,0,0,7.784693960862422e-05,7.784693960862422e-05,1,0,0,0,0,0
Phar_Gland_g2_VR,Phar_Gland_g2_VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g2_VR.stl,1984,1984,0,-0.09498491138219833,-2.590960741043091,0.2710514962673187,-0.0324191153049469,-2.3846566677093506,0.40404611825942993,0.06256579607725143,0.20630407333374023,0.1329946219921112,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Phar_Gland_g2_VR.stl,994,2976,1984,1984,0,0,0,0,-6.068313614626742e-05,6.068313614626742e-05,1,994,2976,1984,1984,0,0,0,0,6.068313614626742e-05,6.068313614626742e-05,1,0,0,0,0,0
Phar_Gland_Dorsal_g2,Phar_Gland_Dorsal_g2,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_Dorsal_g2.stl,4160,4160,0,-0.10025740414857864,-3.4097442626953125,0.31297120451927185,0.05753076821565628,-2.387277364730835,0.5950590372085571,0.15778817236423492,1.0224668979644775,0.2820878326892853,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Phar_Gland_Dorsal_g2.stl,2082,6240,4160,4160,0,0,0,0,0.00029244616909981035,0.00029244616909981035,1,2082,6240,4160,4160,0,0,0,0,0.00029244616909981035,0.00029244616909981035,1,0,0,0,0,0
Arcade_Cell_Ant,Arcade_Cell_Ant,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Arcade_Cell_Ant.stl,15680,15680,0,-0.09109698981046677,-3.495954751968384,0.4888978600502014,0.04823494330048561,-3.173342704772949,0.6152755618095398,0.13933193683624268,0.32261204719543457,0.12637770175933838,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Arcade_Cell_Ant.stl,7839,23520,15680,15680,8,16,0,0,5.005906446516188e-05,5.005906446516188e-05,0,7839,23520,15680,15680,8,16,0,0,5.0073165337335484e-05,5.0073165337335484e-05,0,0,0,0,0,0
Arcade_Cell_Post,Arcade_Cell_Post,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Arcade_Cell_Post.stl,13824,13824,0,-0.09663344919681549,-3.4764716625213623,0.4726529121398926,0.05101413279771805,-3.088528871536255,0.623478889465332,0.14764758944511414,0.3879427909851074,0.15082597732543945,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/Arcade_Cell_Post.stl,7014,20840,13824,13824,208,208,0,0,9.080671086291614e-05,9.080671086291614e-05,0,7014,20840,13824,13824,208,208,0,0,9.080671086291614e-05,9.080671086291614e-05,0,0,0,0,0,0
e1VR,e1VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e1VR.stl,2624,2624,0,-0.08464497327804565,-3.462606906890869,0.5154579281806946,-0.03289839252829552,-3.143465518951416,0.5843719840049744,0.05174658074975014,0.3191413879394531,0.06891405582427979,ok,,/home/asunkari/ros-worm/openworm_geometry/object_stls_clean_conservative/stl/e1VR.stl,1314,3936,2624,2624,0,0,0,0,2.5491879990605454e-06,2.5491879990605454e-06,1,1314,3936,2624,2624,0,0,0,0,2.5491879990605454e-06,2.5491879990605454e-06,1,0,0,0,0,0
