name,input_path,output_path,status,used_meshfix,error,vertices_before,faces_before,watertight_before,winding_before,euler_before,volume_before,components_before,degenerate_removed,tiny_components_removed,vertices_after,faces_after,watertight_after,winding_after,euler_after,volume_after,components_after
hyp10,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp10.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp10.stl,ok,False,,6720,2240,False,True,2240,0.00036270892650490583,2240,0,0,1122,2240,True,True,2,0.00036270892650490583,
hyp9,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp9.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp9.stl,ok,False,,6288,2096,False,True,2096,0.0003571264973565023,2096,0,0,1050,2096,True,True,2,0.0003571264973565023,
hyp8,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp8.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp8.stl,ok,False,,5424,1808,False,True,1808,0.0011860616095029015,1808,0,0,906,1808,True,True,2,0.0011860616095029015,
hyp11,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp11.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp11.stl,ok,True,,8304,2768,False,True,2768,0.001031669170356839,2768,0,0,1249,2494,True,True,2,0.0010267033975029027,
hyp7,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp7.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp7.stl,ok,False,,346224,115408,False,True,115408,0.23666954318356734,115408,0,0,57638,115408,True,True,-66,0.23666954318356734,
Seam_Cells_Left,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Seam_Cells_Left.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Seam_Cells_Left.stl,ok,True,,33216,11072,False,True,11072,-0.007013752486566028,11072,0,0,5538,11072,True,True,2,0.007013752486566026,
hyp5,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp5.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp5.stl,ok,False,,32256,10752,False,True,10752,0.0001868276986416342,10752,0,0,5376,10752,True,True,0,0.0001868276986416342,
hyp4,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp4.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp4.stl,ok,True,,42240,14080,False,True,14080,-0.0001375101120893821,14080,0,0,7040,14080,True,True,0,0.00013751011208938216,
hyp2,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp2.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp2.stl,ok,False,,68352,22784,False,True,22784,9.551110531969909e-05,22784,0,0,11392,22784,True,True,0,9.551110531969909e-05,
hyp1,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp1.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/hyp1.stl,ok,False,,61440,20480,False,True,20480,4.907673311608242e-05,20480,0,0,10240,20480,True,True,0,4.907673311608242e-05,
