object,verts,edges,polygons,boundary_edges,nonmanifold_edges,wire_edges,loose_verts,degenerate_faces,min_face_area,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,problem_score
hyp10,72,140,70,0,0,0,0,0,4.854776489082724e-05,-0.04392397031188011,4.191502571105957,0.164699986577034,0.031636402010917664,4.619907379150391,0.6728226542472839,0.07556037604808807,0.4284048080444336,0.5081226825714111,0
hyp9,67,131,66,0,0,0,0,0,0.0006136881420388818,-0.04399491846561432,3.9937634468078613,0.05617523938417435,0.03170578181743622,4.386119842529297,0.39470210671424866,0.07570070028305054,0.39235639572143555,0.3385268747806549,0
hyp8,58,113,57,0,0,0,0,0,0.002001484390348196,-0.0885942280292511,3.9987785816192627,0.01418264489620924,0.07743505388498306,4.221772193908691,0.1950453668832779,0.16602927446365356,0.2229936122894287,0.18086272478103638,0
hyp11,90,179,90,12,12,0,0,0,0.0007418090826831758,-0.08720945566892624,3.933873176574707,0.03715889900922775,0.07684049010276794,4.205578804016113,0.22250095009803772,0.16404995322227478,0.27170562744140625,0.18534204363822937,24
hyp7,3505,7213,3642,0,0,0,0,16,0.0,-0.28922805190086365,-3.3659322261810303,-0.7076899409294128,0.28723761439323425,4.060296058654785,0.6868481040000916,0.5764656662940979,7.4262285232543945,1.3945380449295044,16
Seam_Cells_Left,348,692,346,0,0,0,0,0,0.0003021304728463292,0.10138000547885895,-3.140291213989258,-0.7496909499168396,0.2933638393878937,3.9959797859191895,0.576723039150238,0.19198383390903473,7.136270999908447,1.3264139890670776,0
hyp5,84,168,84,0,0,0,0,0,0.001087083830498159,-0.10364309698343277,-3.4267659187316895,0.49324169754981995,0.06597325205802917,-3.218651533126831,0.6662936210632324,0.16961634159088135,0.2081143856048584,0.17305192351341248,0
hyp4,110,220,110,0,0,0,0,0,6.400170241249725e-05,-0.08487590402364731,-3.4792392253875732,0.5154469609260559,0.046207260340452194,-3.3637635707855225,0.6684369444847107,0.1310831606388092,0.11547565460205078,0.15298998355865479,0
hyp2,178,356,178,0,0,0,0,0,2.0430593394848984e-06,-0.09233454614877701,-3.5085813999176025,0.4912724494934082,0.04921301454305649,-3.137788772583008,0.6208119988441467,0.1415475606918335,0.3707926273345947,0.12953954935073853,0
hyp1,160,320,160,0,0,0,0,0,3.839478267764207e-06,-0.09407173842191696,-3.498948335647583,0.48033657670021057,0.0516354963183403,-3.1016592979431152,0.6184988617897034,0.14570723474025726,0.3972890377044678,0.1381622850894928,0
Seam_Cells_Right,348,692,346,0,0,0,0,0,0.00030213413992896676,-0.29437389969825745,-3.1402111053466797,-0.7483925819396973,-0.10628318786621094,3.9959800243377686,0.576723039150238,0.1880907118320465,7.136191368103027,1.32511568069458,0
hyp3,96,192,96,0,0,0,0,0,0.0003248891734983772,-0.07167917490005493,-3.529775857925415,0.5217470526695251,0.032678671181201935,-3.261075019836426,0.6770965456962585,0.10435784608125687,0.26870083808898926,0.1553494930267334,0
Cuticle,992,2006,1010,0,0,0,0,0,4.9533402489032596e-05,-0.3074254095554352,-3.5959293842315674,-1.040671944618225,0.3057541251182556,4.625528812408447,1.1547380685806274,0.6131795644760132,8.221458435058594,2.1954100131988525,0
Phar_Gland_g1_R,72,140,70,0,0,0,0,0,4.2303749978600536e-06,-0.07326815277338028,-2.8553109169006348,0.2343115210533142,-0.03042377158999443,-2.520941734313965,0.5612985491752625,0.04284438118338585,0.3343691825866699,0.32698702812194824,0
Phar_Gland_g2_VR,64,124,62,0,0,0,0,0,6.153881713544251e-06,-0.11180375516414642,-2.6000185012817383,0.25448182225227356,-0.01937386579811573,-2.3674745559692383,0.45406147837638855,0.09242989122867584,0.2325439453125,0.199579656124115,0
Phar_Gland_Dorsal_g2,132,260,130,0,0,0,0,0,6.6265206442039926e-06,-0.10025740414857864,-3.41019606590271,0.07091517746448517,0.05753076821565628,-2.353984832763672,0.8505685329437256,0.15778817236423492,1.056211233139038,0.7796533703804016,0
Arcade_Cell_Ant,488,980,491,2,4,0,0,0,8.949358942800245e-08,-0.09109698981046677,-3.5009968280792236,0.487362265586853,0.04823494702577591,-3.1704232692718506,0.6226208806037903,0.13933193683624268,0.33057355880737305,0.13525861501693726,6
Arcade_Cell_Post,456,890,432,52,52,0,0,0,4.645641638489906e-06,-0.09663344919681549,-3.482048749923706,0.4715738296508789,0.05101413652300835,-3.0853829383850098,0.6522747874259949,0.14764758944511414,0.3966658115386963,0.18070095777511597,104
e1VR,84,164,82,0,0,0,0,0,1.5720347690262315e-08,-0.08464497327804565,-3.4650254249572754,0.5149407386779785,-0.03289839252829552,-3.140406370162964,0.5850738286972046,0.05174658074975014,0.3246190547943115,0.07013309001922607,0
e3VR,86,171,87,0,0,0,0,0,5.498618005361777e-09,-0.09171544760465622,-3.4502105712890625,0.5122019052505493,-0.03277122974395752,-3.0868637561798096,0.5840197801589966,0.0589442178606987,0.36334681510925293,0.07181787490844727,0
e2DR,138,273,137,0,0,0,0,0,1.954734329956409e-08,-0.05063549801707268,-3.46146559715271,0.5681338310241699,-0.01918032206594944,-3.248394012451172,0.6362466812133789,0.03145517408847809,0.21307158470153809,0.06811285018920898,0
e2DL,130,257,129,0,0,0,0,0,3.421098782041554e-08,-0.009822556748986244,-3.4636621475219727,0.5400553345680237,0.035553593188524246,-3.248194456100464,0.6050624251365662,0.04537615180015564,0.2154676914215088,0.06500709056854248,0
e3D,96,190,96,0,0,0,0,0,3.1287825663639524e-08,-0.040608327835798264,-3.4458155632019043,0.567272961139679,-0.002191668376326561,-3.081906318664551,0.6430066227912903,0.03841666132211685,0.3639092445373535,0.07573366165161133,0
e1D,108,212,106,0,0,0,0,0,4.6995296543173026e-08,-0.036284189671278,-3.4605722427368164,0.5716375708580017,-0.006453225389122963,-3.139893054962158,0.6418092846870422,0.029830964282155037,0.3206791877746582,0.07017171382904053,0
e2V,142,283,143,0,0,0,0,0,1.3270873289172869e-08,-0.071652352809906,-3.4644663333892822,0.5314502120018005,-0.002319173887372017,-3.2527055740356445,0.5736896395683289,0.06933318078517914,0.2117607593536377,0.04223942756652832,0
pm1,308,628,314,0,0,0,0,0,0.005575597286224365,-0.09085673838853836,-3.4380977153778076,0.46994030475616455,0.04913720116019249,-3.027092218399048,0.6372336149215698,0.13999393582344055,0.41100549697875977,0.16729331016540527,0
pm2VR,152,300,150,0,0,0,0,0,4.410060137161054e-05,-0.06995386630296707,-3.4274797439575195,0.5319138169288635,-0.02645975537598133,-3.219359874725342,0.5893964171409607,0.04349411278963089,0.20811986923217773,0.05748260021209717,0
pm2VL,144,288,146,0,0,0,0,0,0.0003390672500245273,-0.016675185412168503,-3.4274556636810303,0.5326161980628967,0.026845982298254967,-3.220086097717285,0.5909776091575623,0.04352116584777832,0.20736956596374512,0.05836141109466553,0
pm2D,144,284,142,0,0,0,0,0,4.5411336031975225e-05,-0.04000535234808922,-3.4240453243255615,0.5734740495681763,-0.0024872496724128723,-3.214029312133789,0.6328736543655396,0.037518102675676346,0.21001601219177246,0.05939960479736328,0
mc3DR,214,437,225,0,0,0,0,0,1.0623773960105609e-05,-0.1356070637702942,-2.5947818756103516,0.3672960698604584,-0.04066108912229538,-2.368530511856079,0.4619564712047577,0.09494597464799881,0.22625136375427246,0.09466040134429932,0
mc2V,194,398,206,0,0,0,0,0,4.348758466221625e-06,-0.03842288628220558,-2.9302520751953125,0.3527391850948334,-0.004236022010445595,-2.589174509048462,0.4885823726654053,0.03418686240911484,0.3410775661468506,0.1358431875705719,0
mc2DR,194,396,204,0,0,0,0,0,2.307374643351068e-06,-0.10563605278730392,-2.9263439178466797,0.4141789972782135,-0.03879382461309433,-2.5832486152648926,0.5870783925056458,0.0668422281742096,0.3430953025817871,0.17289939522743225,0
mc1V,278,564,288,0,0,0,0,0,7.026603270787746e-06,-0.07837718725204468,-3.4346399307250977,0.4178394079208374,0.02694224938750267,-2.9163782596588135,0.5822516083717346,0.10531944036483765,0.5182616710662842,0.16441220045089722,0
mc1DR,288,582,296,0,0,0,0,0,5.16739055456128e-06,-0.10626943409442902,-3.424346685409546,0.5360380411148071,-0.03019273281097412,-2.9166462421417236,0.6205851435661316,0.0760767012834549,0.5077004432678223,0.08454710245132446,0
