file,time_ns,speciesID,speciesName,number,nEvent,sumG,sumG2,meanG_molecules_per_100eV,run_name,region_id,region_key,region_label,species_label,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,scaled_region_energy_eV,scaled_region_energy_J,scaled_energy_fraction_equivalent_Gy,scaled_region_dose_Gy_mass_normalized,relative_fraction_of_scored_edep,scaled_species_molecules
Species0.root,999.9990000000004,1,°OH^0,4918,100,132.54984747042948,188.50913501947133,1.3254984747042948,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,2999007834.0290546
Species0.root,999.9990000000004,3,e_aq^-1,4723,100,137.84070329786428,198.6133721672963,1.3784070329786429,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,3118716142.8502707
Species0.root,999.9990000000004,4,H^0,2547,100,76.1197740152509,60.56295175587815,0.761197740152509,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,H•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,1722248670.6156828
Species0.root,999.9990000000004,5,H_2^0,2415,100,75.66169468048679,60.51541023544917,0.7566169468048679,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,H₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,1711884392.2722404
Species0.root,999.9990000000004,6,H2O2^0,2860,100,92.25543834951624,88.83991853669704,0.9225543834951624,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,H₂O₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,2087326297.4045067
Species0.root,999.9990000000004,1,°OH^0,9712,100,148.28108241857353,229.16076597871617,1.4828108241857354,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,115781756.14380184
Species0.root,999.9990000000004,3,e_aq^-1,9532,100,147.63014142521376,224.4625163779594,1.4763014142521376,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,115273484.35263404
Species0.root,999.9990000000004,4,H^0,4772,100,79.46026548108034,64.92411567805446,0.7946026548108034,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,H•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,62044658.23281453
Species0.root,999.9990000000004,5,H_2^0,4139,100,70.01007117989221,50.50904977787526,0.7001007117989221,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,H₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,54665698.79817085
Species0.root,999.9990000000004,6,H2O2^0,5200,100,87.69601519141042,78.74361429693317,0.8769601519141043,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,H₂O₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,68475347.49586636
Species0.root,999.9990000000004,1,°OH^0,5047,100,134.25668607453014,189.9223187314108,1.3425668607453014,caseB_focused_0p5Gy_s_10s_full,3,bodywall,Body wall muscle,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,3904635808.362917,6.255916256438767e-10,0.0785747613253225,3.7330255792286606,0.0157149522650645,52422346.39587493
Species0.root,999.9990000000004,3,e_aq^-1,4942,100,137.72255825594007,196.68178811871388,1.3772255825594006,caseB_focused_0p5Gy_s_10s_full,3,bodywall,Body wall muscle,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,3904635808.362917,6.255916256438767e-10,0.0785747613253225,3.7330255792286606,0.0157149522650645,53775643.25854915
Species0.root,999.9990000000004,4,H^0,2636,100,74.80033705672506,59.14239634424764,0.7480033705672505,caseB_focused_0p5Gy_s_10s_full,3,bodywall,Body wall muscle,H•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,3904635808.362917,6.255916256438767e-10,0.0785747613253225,3.7330255792286606,0.0157149522650645,29206807.45493043
Species0.root,999.9990000000004,5,H_2^0,2674,100,74.99283887905403,58.30386330373766,0.7499283887905404,caseB_focused_0p5Gy_s_10s_full,3,bodywall,Body wall muscle,H₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,3904635808.362917,6.255916256438767e-10,0.0785747613253225,3.7330255792286606,0.0157149522650645,29281972.405794512
Species0.root,999.9990000000004,6,H2O2^0,3193,100,92.56772129755552,88.35431982646963,0.9256772129755552,caseB_focused_0p5Gy_s_10s_full,3,bodywall,Body wall muscle,H₂O₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,3904635808.362917,6.255916256438767e-10,0.0785747613253225,3.7330255792286606,0.0157149522650645,36144323.92769939
Species0.root,999.9990000000004,1,°OH^0,8106,100,144.79011456990668,220.09771687057085,1.4479011456990667,caseB_focused_0p5Gy_s_10s_full,4,digestive,Digestive system,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7654652380.920866,1.2264105186103878e-09,0.1540380494823515,3.359494980552098,0.0308076098964703,110831799.5226341
Species0.root,999.9990000000004,3,e_aq^-1,7958,100,149.94255217224924,237.66704921922133,1.4994255217224923,caseB_focused_0p5Gy_s_10s_full,4,digestive,Digestive system,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7654652380.920866,1.2264105186103878e-09,0.1540380494823515,3.359494980552098,0.0308076098964703,114775811.39866588
Species0.root,999.9990000000004,4,H^0,3907,100,76.33727090196017,61.04674977461153,0.7633727090196016,caseB_focused_0p5Gy_s_10s_full,4,digestive,Digestive system,H•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7654652380.920866,1.2264105186103878e-09,0.1540380494823515,3.359494980552098,0.0308076098964703,58433527.246269055
Species0.root,999.9990000000004,5,H_2^0,3523,100,72.18117078738085,53.93809813707459,0.7218117078738086,caseB_focused_0p5Gy_s_10s_full,4,digestive,Digestive system,H₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7654652380.920866,1.2264105186103878e-09,0.1540380494823515,3.359494980552098,0.0308076098964703,55252177.082528055
Species0.root,999.9990000000004,6,H2O2^0,4371,100,92.23197820319312,88.53662424817527,0.9223197820319312,caseB_focused_0p5Gy_s_10s_full,4,digestive,Digestive system,H₂O₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7654652380.920866,1.2264105186103878e-09,0.1540380494823515,3.359494980552098,0.0308076098964703,70600373.15501137
Species0.root,999.9990000000004,1,°OH^0,9932,100,156.44468266058092,251.53790761090465,1.5644468266058091,caseB_focused_0p5Gy_s_10s_full,5,reproductive,Reproductive system,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,2737734908.8413944,4.386334901031802e-10,0.055092684079135,2.354598740139892,0.011018536815827,42830406.902248636
Species0.root,999.9990000000004,3,e_aq^-1,9546,100,151.23803173309352,235.40644759318485,1.5123803173309351,caseB_focused_0p5Gy_s_10s_full,5,reproductive,Reproductive system,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,2737734908.8413944,4.386334901031802e-10,0.055092684079135,2.354598740139892,0.011018536815827,41404963.90201527
Species0.root,999.9990000000004,4,H^0,4668,100,75.5259321688397,58.44568108784537,0.755259321688397,caseB_focused_0p5Gy_s_10s_full,5,reproductive,Reproductive system,H•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,2737734908.8413944,4.386334901031802e-10,0.055092684079135,2.354598740139892,0.011018536815827,20676998.10214197
Species0.root,999.9990000000004,5,H_2^0,4414,100,71.65160525818825,52.92554634653816,0.7165160525818826,caseB_focused_0p5Gy_s_10s_full,5,reproductive,Reproductive system,H₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,2737734908.8413944,4.386334901031802e-10,0.055092684079135,2.354598740139892,0.011018536815827,19616310.09898656
Species0.root,999.9990000000004,6,H2O2^0,5325,100,86.65857126077631,76.42434435560591,0.8665857126077632,caseB_focused_0p5Gy_s_10s_full,5,reproductive,Reproductive system,H₂O₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,2737734908.8413944,4.386334901031802e-10,0.055092684079135,2.354598740139892,0.011018536815827,23724819.56909469
Species0.root,999.9990000000004,1,°OH^0,856,100,114.15943931391548,143.14101504470204,1.1415943931391548,caseB_focused_0p5Gy_s_10s_full,6,excretory,Excretory system,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,105904707.04332745,1.6967804705543445e-11,0.0021311685615684997,187.4408822630968,0.0004262337123137,1209002.1976770738
Species0.root,999.9990000000004,3,e_aq^-1,1136,100,151.50131198669152,242.17296978735868,1.5150131198669152,caseB_focused_0p5Gy_s_10s_full,6,excretory,Excretory system,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,105904707.04332745,1.6967804705543445e-11,0.0021311685615684997,187.4408822630968,0.0004262337123137,1604470.206263032
Species0.root,999.9990000000004,4,H^0,622,100,82.9523028659526,79.64531130345128,0.829523028659526,caseB_focused_0p5Gy_s_10s_full,6,excretory,Excretory system,H•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,105904707.04332745,1.6967804705543445e-11,0.0021311685615684997,187.4408822630968,0.0004262337123137,878503.9333588083
Species0.root,999.9990000000004,5,H_2^0,550,100,73.35010703581017,59.938521458827786,0.7335010703581016,caseB_focused_0p5Gy_s_10s_full,6,excretory,Excretory system,H₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,105904707.04332745,1.6967804705543445e-11,0.0021311685615684997,187.4408822630968,0.0004262337123137,776812.1597224188
Species0.root,999.9990000000004,6,H2O2^0,770,100,102.69014985013423,112.1223855419734,1.0269014985013425,caseB_focused_0p5Gy_s_10s_full,6,excretory,Excretory system,H₂O₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,105904707.04332745,1.6967804705543445e-11,0.0021311685615684997,187.4408822630968,0.0004262337123137,1087537.0236113865
Species0.root,999.9990000000004,1,°OH^0,4868,100,130.23626472231973,183.06696418941175,1.3023626472231973,caseB_focused_1p0Gy_s_10s_full,1,body,Residual body envelope,•OH,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,452510190130.2607,7.25001253273601e-08,9.106068256252795,10.032439362984112,0.9106068256252796,5893323691.135186
Species0.root,999.9990000000004,3,e_aq^-1,4779,100,139.37279451832916,204.48135731341355,1.3937279451832916,caseB_focused_1p0Gy_s_10s_full,1,body,Residual body envelope,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,452510190130.2607,7.25001253273601e-08,9.106068256252795,10.032439362984112,0.9106068256252796,6306760974.647488
