file,time_ns,speciesID,speciesName,number,nEvent,sumG,sumG2,meanG_molecules_per_100eV,run_name,region_id,region_key,region_label,species_label,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,scaled_region_energy_eV,scaled_region_energy_J,scaled_energy_fraction_equivalent_Gy,scaled_region_dose_Gy_mass_normalized,relative_fraction_of_scored_edep,scaled_species_molecules
Species0.root,999.9990000000004,0,H3O^1,7200,100,209.51354267891867,449.4745580762918,2.095135426789186,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,H₃O⁺,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,4740350651.625097
Species0.root,999.9990000000004,1,°OH^0,4918,100,132.54984747042948,188.50913501947133,1.3254984747042948,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,2999007834.0290546
Species0.root,999.9990000000004,2,OH^-1,2593,100,77.48447271263007,63.22747338748831,0.7748447271263007,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,OH⁻,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,1753125673.9667614
Species0.root,999.9990000000004,3,e_aq^-1,4723,100,137.84070329786428,198.6133721672963,1.3784070329786429,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,e⁻aq,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,3118716142.8502707
Species0.root,999.9990000000004,4,H^0,2547,100,76.1197740152509,60.56295175587815,0.761197740152509,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,H•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,1722248670.6156828
Species0.root,999.9990000000004,5,H_2^0,2415,100,75.66169468048679,60.51541023544917,0.7566169468048679,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,H₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,1711884392.2722404
Species0.root,999.9990000000004,6,H2O2^0,2860,100,92.25543834951624,88.83991853669704,0.9225543834951624,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,H₂O₂,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,2087326297.4045067
Species0.root,999.9990000000004,9,°O^0,673,100,21.205754586525565,5.790685571849094,0.2120575458652556,caseB_focused_0p5Gy_s_10s_full,1,body,Residual body envelope,O•,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,226255095065.13034,3.625006266368005e-08,4.553034128126398,5.016219681492056,0.9106068256252796,479791001.99021643
Species0.root,999.9990000000004,0,H3O^1,14027,100,220.6586011592329,494.7366418298463,2.206586011592329,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,H₃O⁺,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,172296020.05690905
Species0.root,999.9990000000004,1,°OH^0,9712,100,148.28108241857353,229.16076597871617,1.4828108241857354,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,•OH,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,115781756.14380184
Species0.root,999.9990000000004,2,OH^-1,4647,100,76.1887901743626,59.52545299643313,0.761887901743626,caseB_focused_0p5Gy_s_10s_full,2,nervous,Nervous system,OH⁻,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,7808262136.701204,1.2510215147569583e-09,0.15712920842522402,77.47222657647748,0.0314258416850448,59490204.55595482
