region_id,region_key,description,material_name,material_class,density_g_cm3,events,edep_keV,edep_per_event_keV,edep_J,relative_fraction_of_scored_edep,run_name,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,expected_total_dose_Gy,region_label,mass_kg,total_model_mass_kg_for_scaling,scaled_region_energy_J,scaled_region_energy_eV,scaled_region_dose_Gy_mass_normalized,scaled_energy_fraction_equivalent_Gy
1,body,Whole-body/residual tissue envelope,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,2713.089345197398,0.0271308934519739,4.3468483548296313e-13,0.9106068256252796,caseB_focused_0p5Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,5.0,Residual body envelope,7.22657e-09,7.9617375235e-09,3.625006266368005e-08,226255095065.13034,5.016219681492056,4.553034128126398
2,nervous,OpenWorm-derived nervous system,G4_BRAIN_ICRP,NIST_ICRP,1.04,100000,93.631097242226,0.0009363109724222,1.5001355621727632e-14,0.0314258416850448,caseB_focused_0p5Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,5.0,Nervous system,1.6148e-11,7.9617375235e-09,1.2510215147569583e-09,7808262136.701204,77.47222657647748,0.15712920842522402
3,bodywall,Body wall muscle compartment,G4_MUSCLE_SKELETAL_ICRP,NIST_ICRP,1.05,100000,46.82160110249101,0.0004682160110249,7.501647525287972e-15,0.0157149522650645,caseB_focused_0p5Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,5.0,Body wall muscle,1.67583e-10,7.9617375235e-09,6.255916256438767e-10,3904635808.362917,3.7330255792286606,0.0785747613253225
4,digestive,Digestive/intestine compartment,G4_TISSUE_SOFT_ICRP,NIST_ICRP,1.0,100000,91.78911886995546,0.0009178911886995,1.470623815088911e-14,0.0308076098964703,caseB_focused_0p5Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,5.0,Digestive system,3.65058e-10,7.9617375235e-09,1.2264105186103878e-09,7654652380.920866,3.359494980552098,0.1540380494823515
5,reproductive,Reproductive system compartment,G4_TESTIS_ICRP,NIST_ICRP,1.04,100000,32.82895975895893,0.0003282895975895,5.2597792244330265e-15,0.011018536815827,caseB_focused_0p5Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,5.0,Reproductive system,1.86288e-10,7.9617375235e-09,4.386334901031802e-10,2737734908.8413944,2.354598740139892,0.055092684079135
6,excretory,Excretory system compartment,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,1.269933533221856,1.269933533221856e-05,2.0346578336611203e-16,0.0004262337123137,caseB_focused_0p5Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 0.5 Gy/s × 10 s,0.5,10.0,5.0,5.0,Excretory system,9.05235e-14,7.9617375235e-09,1.6967804705543445e-11,105904707.04332745,187.4408822630968,0.0021311685615684997
1,body,Whole-body/residual tissue envelope,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,2713.089345197397,0.0271308934519739,4.3468483548296293e-13,0.9106068256252796,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,10.0,Residual body envelope,7.22657e-09,7.9617375235e-09,7.25001253273601e-08,452510190130.2607,10.032439362984112,9.106068256252795
2,nervous,OpenWorm-derived nervous system,G4_BRAIN_ICRP,NIST_ICRP,1.04,100000,93.631097242226,0.0009363109724222,1.5001355621727632e-14,0.0314258416850448,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,10.0,Nervous system,1.6148e-11,7.9617375235e-09,2.5020430295139166e-09,15616524273.402409,154.94445315295496,0.31425841685044803
3,bodywall,Body wall muscle compartment,G4_MUSCLE_SKELETAL_ICRP,NIST_ICRP,1.05,100000,46.82160110249101,0.0004682160110249,7.501647525287972e-15,0.0157149522650645,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,10.0,Body wall muscle,1.67583e-10,7.9617375235e-09,1.2511832512877533e-09,7809271616.725834,7.466051158457321,0.157149522650645
4,digestive,Digestive/intestine compartment,G4_TISSUE_SOFT_ICRP,NIST_ICRP,1.0,100000,91.78911886995544,0.0009178911886995,1.4706238150889108e-14,0.0308076098964703,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,10.0,Digestive system,3.65058e-10,7.9617375235e-09,2.4528210372207756e-09,15309304761.841732,6.718989961104196,0.308076098964703
5,reproductive,Reproductive system compartment,G4_TESTIS_ICRP,NIST_ICRP,1.04,100000,32.82895975895893,0.0003282895975895,5.2597792244330265e-15,0.011018536815827,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,10.0,Reproductive system,1.86288e-10,7.9617375235e-09,8.772669802063604e-10,5475469817.682789,4.709197480279784,0.11018536815827
6,excretory,Excretory system compartment,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,1.269933533221856,1.269933533221856e-05,2.0346578336611203e-16,0.0004262337123137,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,10.0,Excretory system,9.05235e-14,7.9617375235e-09,3.393560941108689e-11,211809414.0866549,374.8817645261936,0.0042623371231369995
1,body,Whole-body/residual tissue envelope,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,1588.6241840829796,0.0158862418408297,2.5452565479450644e-13,0.9303253988106864,caseC_diffuse_0p19Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.19 Gy/s × 20 s,0.19,20.0,3.8,3.8,Residual body envelope,7.22657e-09,7.9617375235e-09,2.8146625219749348e-08,175677416724.51172,3.8948803124787204,3.5352365154806082
