run_name,condition_label,source_geometry,region_key,region_label,n_secondaries,mean_keV,median_keV,p05_keV,p95_keV,max_keV
caseB_focused_0p5Gy_s_10s_full,Focused beam: 0.5 Gy/s × 10 s,Focused beam,body,Residual body envelope,833,2.9196920917377556,2.174659293405696,0.6505722005808933,7.073458650214589,24.78994790539418
caseB_focused_0p5Gy_s_10s_full,Focused beam: 0.5 Gy/s × 10 s,Focused beam,bodywall,Body wall muscle,12,3.3178983673517517,3.0078045306519523,0.8399239047099113,6.340596000487599,7.559589672637394
caseB_focused_0p5Gy_s_10s_full,Focused beam: 0.5 Gy/s × 10 s,Focused beam,digestive,Digestive system,17,4.743535540058397,4.6044172856556544,0.9646383312429411,10.938449776011252,15.44621971403422
caseB_focused_0p5Gy_s_10s_full,Focused beam: 0.5 Gy/s × 10 s,Focused beam,excretory,Excretory system,1,0.7319335332218561,0.7319335332218561,0.7319335332218561,0.7319335332218561,0.7319335332218561
caseB_focused_0p5Gy_s_10s_full,Focused beam: 0.5 Gy/s × 10 s,Focused beam,nervous,Nervous system,10,5.455523839951923,4.719036548496556,2.0220547970968523,11.709614418176436,12.882358481664038
caseB_focused_0p5Gy_s_10s_full,Focused beam: 0.5 Gy/s × 10 s,Focused beam,reproductive,Reproductive system,5,6.027791951791786,7.153558521125227,3.7637296107694684,7.357195115279718,7.400221754380518
caseB_focused_1p0Gy_s_10s_full,Focused beam: 1 Gy/s × 10 s,Focused beam,body,Residual body envelope,833,2.9196920917377556,2.174659293405696,0.6505722005808933,7.073458650214589,24.78994790539418
caseB_focused_1p0Gy_s_10s_full,Focused beam: 1 Gy/s × 10 s,Focused beam,bodywall,Body wall muscle,12,3.3178983673517517,3.0078045306519523,0.8399239047099113,6.340596000487599,7.559589672637394
caseB_focused_1p0Gy_s_10s_full,Focused beam: 1 Gy/s × 10 s,Focused beam,digestive,Digestive system,17,4.743535540058397,4.6044172856556544,0.9646383312429411,10.938449776011252,15.44621971403422
caseB_focused_1p0Gy_s_10s_full,Focused beam: 1 Gy/s × 10 s,Focused beam,excretory,Excretory system,1,0.7319335332218561,0.7319335332218561,0.7319335332218561,0.7319335332218561,0.7319335332218561
caseB_focused_1p0Gy_s_10s_full,Focused beam: 1 Gy/s × 10 s,Focused beam,nervous,Nervous system,10,5.455523839951923,4.719036548496556,2.0220547970968523,11.709614418176436,12.882358481664038
caseB_focused_1p0Gy_s_10s_full,Focused beam: 1 Gy/s × 10 s,Focused beam,reproductive,Reproductive system,5,6.027791951791786,7.153558521125227,3.7637296107694684,7.357195115279718,7.400221754380518
caseC_diffuse_0p19Gy_s_20s_full,Diffuse field: 0.19 Gy/s × 20 s,Diffuse field,body,Residual body envelope,471,2.9412074447501104,2.224712534464094,0.6602626179016118,6.967388995430243,24.78994790539418
caseC_diffuse_0p19Gy_s_20s_full,Diffuse field: 0.19 Gy/s × 20 s,Diffuse field,bodywall,Body wall muscle,8,4.520518215719054,4.222943200799553,0.8219870805541611,8.529321111924009,9.811507291505515
caseC_diffuse_0p19Gy_s_20s_full,Diffuse field: 0.19 Gy/s × 20 s,Diffuse field,digestive,Digestive system,4,4.377250497583491,4.208070625533766,3.10079047893162,5.890562337104975,6.054562833718438
caseC_diffuse_0p19Gy_s_20s_full,Diffuse field: 0.19 Gy/s × 20 s,Diffuse field,excretory,Excretory system,1,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013
caseC_diffuse_0p19Gy_s_20s_full,Diffuse field: 0.19 Gy/s × 20 s,Diffuse field,nervous,Nervous system,3,3.5146663590268745,3.28188590501662,2.902840278019457,4.289438757841469,4.401389074822008
caseC_diffuse_0p19Gy_s_20s_full,Diffuse field: 0.19 Gy/s × 20 s,Diffuse field,reproductive,Reproductive system,6,7.070446021288007,7.169323540000873,2.1917644962718934,13.434720224120795,15.44621971403422
caseC_diffuse_0p38Gy_s_20s_full,Diffuse field: 0.38 Gy/s × 20 s,Diffuse field,body,Residual body envelope,471,2.9412074447501104,2.224712534464094,0.6602626179016118,6.967388995430243,24.78994790539418
caseC_diffuse_0p38Gy_s_20s_full,Diffuse field: 0.38 Gy/s × 20 s,Diffuse field,bodywall,Body wall muscle,8,4.520518215719054,4.222943200799553,0.8219870805541611,8.529321111924009,9.811507291505515
caseC_diffuse_0p38Gy_s_20s_full,Diffuse field: 0.38 Gy/s × 20 s,Diffuse field,digestive,Digestive system,4,4.377250497583491,4.208070625533766,3.10079047893162,5.890562337104975,6.054562833718438
caseC_diffuse_0p38Gy_s_20s_full,Diffuse field: 0.38 Gy/s × 20 s,Diffuse field,excretory,Excretory system,1,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013
caseC_diffuse_0p38Gy_s_20s_full,Diffuse field: 0.38 Gy/s × 20 s,Diffuse field,nervous,Nervous system,3,3.514666359026874,3.28188590501662,2.902840278019457,4.289438757841469,4.401389074822008
caseC_diffuse_0p38Gy_s_20s_full,Diffuse field: 0.38 Gy/s × 20 s,Diffuse field,reproductive,Reproductive system,6,7.070446021288007,7.169323540000873,2.1917644962718934,13.434720224120795,15.44621971403422
caseC_diffuse_0p56Gy_s_20s_full,Diffuse field: 0.56 Gy/s × 20 s,Diffuse field,body,Residual body envelope,471,2.9412074447501104,2.224712534464094,0.6602626179016118,6.967388995430243,24.78994790539418
caseC_diffuse_0p56Gy_s_20s_full,Diffuse field: 0.56 Gy/s × 20 s,Diffuse field,bodywall,Body wall muscle,8,4.520518215719054,4.222943200799553,0.8219870805541611,8.529321111924009,9.811507291505515
caseC_diffuse_0p56Gy_s_20s_full,Diffuse field: 0.56 Gy/s × 20 s,Diffuse field,digestive,Digestive system,4,4.377250497583491,4.208070625533766,3.10079047893162,5.890562337104975,6.054562833718438
caseC_diffuse_0p56Gy_s_20s_full,Diffuse field: 0.56 Gy/s × 20 s,Diffuse field,excretory,Excretory system,1,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013
caseC_diffuse_0p56Gy_s_20s_full,Diffuse field: 0.56 Gy/s × 20 s,Diffuse field,nervous,Nervous system,3,3.514666359026874,3.28188590501662,2.902840278019457,4.289438757841469,4.401389074822008
caseC_diffuse_0p56Gy_s_20s_full,Diffuse field: 0.56 Gy/s × 20 s,Diffuse field,reproductive,Reproductive system,6,7.070446021288007,7.169323540000873,2.1917644962718934,13.434720224120795,15.44621971403422
caseC_diffuse_0p74Gy_s_20s_full,Diffuse field: 0.74 Gy/s × 20 s,Diffuse field,body,Residual body envelope,471,2.9412074447501104,2.224712534464094,0.6602626179016118,6.967388995430243,24.78994790539418
caseC_diffuse_0p74Gy_s_20s_full,Diffuse field: 0.74 Gy/s × 20 s,Diffuse field,bodywall,Body wall muscle,8,4.520518215719054,4.222943200799553,0.8219870805541611,8.529321111924009,9.811507291505515
caseC_diffuse_0p74Gy_s_20s_full,Diffuse field: 0.74 Gy/s × 20 s,Diffuse field,digestive,Digestive system,4,4.377250497583491,4.208070625533766,3.10079047893162,5.890562337104975,6.054562833718438
caseC_diffuse_0p74Gy_s_20s_full,Diffuse field: 0.74 Gy/s × 20 s,Diffuse field,excretory,Excretory system,1,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013,2.5091238214387013
caseC_diffuse_0p74Gy_s_20s_full,Diffuse field: 0.74 Gy/s × 20 s,Diffuse field,nervous,Nervous system,3,3.5146663590268745,3.28188590501662,2.902840278019457,4.289438757841469,4.401389074822008
caseC_diffuse_0p74Gy_s_20s_full,Diffuse field: 0.74 Gy/s × 20 s,Diffuse field,reproductive,Reproductive system,6,7.070446021288007,7.169323540000873,2.1917644962718934,13.434720224120795,15.44621971403422
caseD_focused_1p0Gy_s_15s_full,Focused beam: 1 Gy/s × 15 s,Focused beam,body,Residual body envelope,833,2.9196920917377556,2.174659293405696,0.6505722005808933,7.073458650214589,24.78994790539418
